"Ano";"Tipo Contribuinte";"Setor Econômico_Ocupação Principal";"Quantidade de Proc. de Fiscalização";"Valor Apurado (R$)";
2013;"Pessoa Jurídica";"Comércio ";2395;23260079146;
2013;"Pessoa Jurídica";"Prestação de serviços ";2611;17157500463;
2013;"Pessoa Jurídica";"Indústria ";2902;74431113119;
2013;"Pessoa Jurídica";"Transporte e serviços relacionados ";632;3225849324;
2013;"Pessoa Jurídica";"Construção civil ";583;2995673357;
2013;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";90;1512255576;
2013;"Pessoa Jurídica";"Serviços financeiros ";314;42148401951;
2013;"Pessoa Jurídica";"Sociedades de Participação ";172;5120020265;
2013;"Pessoa Jurídica";"Outros";1303;5403260165,5;
2013;"Pessoa Física";"Proprietário e Dirigente de empresa ";1897;2453600976;
2013;"Pessoa Física";"Funcionário público e Aposentado ";1015;248802460;
2013;"Pessoa Física";"Profissional liberal ";1744;444605175;
2013;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";1316;686034324;
2013;"Pessoa Física";"Autônomo ";338;427281773;
2013;"Pessoa Física";"Outros";2705;1597209233;
2014;"Pessoa Jurídica";"Comércio ";1999;15977454739;
2014;"Pessoa Jurídica";"Prestação de serviços ";2112;18632505639;
2014;"Pessoa Jurídica";"Indústria ";2373;58404984540;
2014;"Pessoa Jurídica";"Transporte e serviços relacionados ";547;3579948169;
2014;"Pessoa Jurídica";"Construção civil ";517;2959255416;
2014;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";70;1529132531;
2014;"Pessoa Jurídica";"Serviços financeiros ";230;17056212354;
2014;"Pessoa Jurídica";"Sociedades de Participação ";134;15795299256;
2014;"Pessoa Jurídica";"Outros";1028;5522300297,73;
2014;"Pessoa Física";"Proprietário e Dirigente de empresa ";1520;2181083682;
2014;"Pessoa Física";"Funcionário público e Aposentado ";728;285479060;
2014;"Pessoa Física";"Profissional liberal ";1926;722368710;
2014;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";912;158223539;
2014;"Pessoa Física";"Autônomo ";262;197866791;
2014;"Pessoa Física";"Outros";2292;1163282419;
2015;"Pessoa Jurídica";"Comércio ";1149;20919820080;
2015;"Pessoa Jurídica";"Prestação de serviços ";1250;15693859516;
2015;"Pessoa Jurídica";"Indústria ";1432;39367230611;
2015;"Pessoa Jurídica";"Transporte e serviços relacionados ";314;2472871946;
2015;"Pessoa Jurídica";"Construção civil ";276;2635188319;
2015;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";61;1707179901;
2015;"Pessoa Jurídica";"Serviços financeiros ";133;19225017134;
2015;"Pessoa Jurídica";"Sociedades de Participação ";87;12740802009;
2015;"Pessoa Jurídica";"Outros";556;3103556580,87;
2015;"Pessoa Física";"Proprietário e Dirigente de empresa ";951;1432112641;
2015;"Pessoa Física";"Funcionário público e Aposentado ";376;325508241;
2015;"Pessoa Física";"Profissional liberal ";1109;293026531;
2015;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";607;98098343;
2015;"Pessoa Física";"Autônomo ";174;288781900;
2015;"Pessoa Física";"Outros";1420;865507410;
2016;"Pessoa Jurídica";"Comércio ";1064;8664624416;
2016;"Pessoa Jurídica";"Prestação de serviços ";1262;15958943280;
2016;"Pessoa Jurídica";"Indústria ";1417;55352231030;
2016;"Pessoa Jurídica";"Transporte e serviços relacionados ";238;2484687563;
2016;"Pessoa Jurídica";"Construção civil ";276;8816151935;
2016;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";60;2115787069;
2016;"Pessoa Jurídica";"Serviços financeiros ";108;10525704365;
2016;"Pessoa Jurídica";"Sociedades de Participação ";93;3327742259;
2016;"Pessoa Jurídica";"Outros";493;3336549899,38;
2016;"Pessoa Física";"Proprietário e Dirigente de empresa ";973;2200830383;
2016;"Pessoa Física";"Funcionário público e Aposentado ";465;326796407;
2016;"Pessoa Física";"Profissional liberal ";795;471978183;
2016;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";411;202834442;
2016;"Pessoa Física";"Autônomo ";175;101680740;
2016;"Pessoa Física";"Outros";1180;3244879202;
2017;"Pessoa Jurídica";"Comércio ";1514;20432198314;
2017;"Pessoa Jurídica";"Prestação de serviços ";1514;21064263298;
2017;"Pessoa Jurídica";"Indústria ";1853;107448074296;
2017;"Pessoa Jurídica";"Transporte e serviços relacionados ";347;4557066353;
2017;"Pessoa Jurídica";"Construção civil ";341;4727538627;
2017;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";60;2259646473;
2017;"Pessoa Jurídica";"Serviços financeiros ";173;15257822055;
2017;"Pessoa Jurídica";"Sociedades de Participação ";99;8164663932;
2017;"Pessoa Jurídica";"Outros";730;5650332664,95999;
2017;"Pessoa Física";"Proprietário e Dirigente de empresa ";1119;6849148767;
2017;"Pessoa Física";"Funcionário público e Aposentado ";419;290066379;
2017;"Pessoa Física";"Profissional liberal ";1158;521975274;
2017;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";353;415861892;
2017;"Pessoa Física";"Autônomo ";158;123912226;
2017;"Pessoa Física";"Outros";1482;1364594830;
2018;"Pessoa Jurídica";"Comércio ";1110;13063496155;
2018;"Pessoa Jurídica";"Prestação de serviços ";1239;33052920302;
2018;"Pessoa Jurídica";"Indústria ";1462;84222416466;
2018;"Pessoa Jurídica";"Transporte e serviços relacionados ";243;4738372430;
2018;"Pessoa Jurídica";"Construção civil ";249;9341520483;
2018;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";71;5517444129;
2018;"Pessoa Jurídica";"Serviços financeiros ";122;16064840414;
2018;"Pessoa Jurídica";"Sociedades de Participação ";75;7140903626;
2018;"Pessoa Jurídica";"Outros";436;3782033520,50003;
2018;"Pessoa Física";"Proprietário e Dirigente de empresa ";869;2684039524;
2018;"Pessoa Física";"Funcionário público e Aposentado ";320;221243577;
2018;"Pessoa Física";"Profissional liberal ";741;422959696;
2018;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";211;144200823;
2018;"Pessoa Física";"Autônomo ";110;154016736;
2018;"Pessoa Física";"Outros";1026;976948073;
2019;"Pessoa Jurídica";"Comércio ";1870;16760528274;
2019;"Pessoa Jurídica";"Prestação de serviços ";1512;23307732085;
2019;"Pessoa Jurídica";"Indústria ";1820;58444695578;
2019;"Pessoa Jurídica";"Transporte e serviços relacionados ";275;3262914605;
2019;"Pessoa Jurídica";"Construção civil ";337;4860697703;
2019;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";123;14002735314;
2019;"Pessoa Jurídica";"Serviços financeiros ";162;56599648145;
2019;"Pessoa Jurídica";"Sociedades de Participação ";110;5394890615;
2019;"Pessoa Jurídica";"Outros";645;5937762954,8;
2019;"Pessoa Física";"Proprietário e Dirigente de empresa ";983;4393786449;
2019;"Pessoa Física";"Funcionário público e Aposentado ";378;756707850;
2019;"Pessoa Física";"Profissional liberal ";842;534629312;
2019;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";195;149472919;
2019;"Pessoa Física";"Autônomo ";134;168540933;
2019;"Pessoa Física";"Outros";1485;1916416760;
2020;"Pessoa Jurídica";"Comércio ";1257;21990360044,04;
2020;"Pessoa Jurídica";"Prestação de serviços ";1075;37289339969,97;
2020;"Pessoa Jurídica";"Indústria ";1390;65438247195,02;
2020;"Pessoa Jurídica";"Transporte e serviços relacionados ";277;4911184033,76;
2020;"Pessoa Jurídica";"Construção civil ";203;1591445510,18;
2020;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";101;9145157588,69;
2020;"Pessoa Jurídica";"Serviços financeiros ";99;20053833261,33;
2020;"Pessoa Jurídica";"Sociedades de Participação ";76;2033065868,81;
2020;"Pessoa Jurídica";"Outros";495;7222017899,81;
2020;"Pessoa Física";"Proprietário e Dirigente de empresa ";665;1564877189,03;
2020;"Pessoa Física";"Funcionário público e Aposentado ";217;282191398,12;
2020;"Pessoa Física";"Profissional liberal ";426;314708193,57;
2020;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";194;147571054,73;
2020;"Pessoa Física";"Autônomo ";78;115052782,37;
2020;"Pessoa Física";"Outros";974;1163565493,22;
2021;"Pessoa Jurídica";"Comércio ";1262;23592605952,6;
2021;"Pessoa Jurídica";"Prestação de serviços ";1274;19885505514,5;
2021;"Pessoa Jurídica";"Indústria ";1488;81735391559,77;
2021;"Pessoa Jurídica";"Transporte e serviços relacionados ";344;4858028856,29;
2021;"Pessoa Jurídica";"Construção civil ";252;2498634673,63;
2021;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";102;4382622432,51;
2021;"Pessoa Jurídica";"Serviços financeiros ";117;21357111314,23;
2021;"Pessoa Jurídica";"Sociedades de Participação ";119;12203907066,82;
2021;"Pessoa Jurídica";"Outros";687;10140955635,24;
2021;"Pessoa Física";"Proprietário e Dirigente de empresa ";740;3373530141,79;
2021;"Pessoa Física";"Funcionário público e Aposentado ";213;340329610,47;
2021;"Pessoa Física";"Profissional liberal ";293;604636678,53;
2021;"Pessoa Física";"Profissional de ensino e Técnico de outra natureza ";116;132815915,9;
2021;"Pessoa Física";"Autônomo ";87;143250225,51;
2021;"Pessoa Física";"Outros";1377;2411924643,47;
2022;"Pessoa Jurídica";"Comércio ";827;25767373808;
2022;"Pessoa Jurídica";"Prestação de serviços ";713;16907679490;
2022;"Pessoa Jurídica";"Indústria ";811;51624365000;
2022;"Pessoa Jurídica";"Transporte e serviços relacionados ";181;2937689346;
2022;"Pessoa Jurídica";"Construção civil ";126;1709351976;
2022;"Pessoa Jurídica";"Serviços de comunicação, energia e água ";64;2995416581;
2022;"Pessoa Jurídica";"Serviços financeiros ";99;19763963922;
2022;"Pessoa Jurídica";"Sociedades de Participação ";62;1515866646;
2022;"Pessoa Jurídica";"Outros";325;5064553491;
